group;name;protein;fat;carb;calorie
Gabonafélék, kenyerek, pékáruk;búzapehely;12,5;1,5;64,0;321
Gabonafélék, kenyerek, pékáruk;durum liszt;12,5;1,5;73,0;357
Gabonafélék, kenyerek, pékáruk;grahamliszt;14,4;1,8;64,4;333
Gabonafélék, kenyerek, pékáruk;hajdina;9,8;1,7;71,3;341
Gabonafélék, kenyerek, pékáruk;köles;9,5;3,9;68,8;350
Gabonafélék, kenyerek, pékáruk;kukoricadara;9,6;3,1;70,2;349
Gabonafélék, kenyerek, pékáruk;kukoricaliszt;9,6;3,1;70,2;349
Gabonafélék, kenyerek, pékáruk;kukoricapehely;7,7;0,6;83,0;370
Gabonafélék, kenyerek, pékáruk;natúr müzli;8,5;2,7;70,0;340
Gabonafélék, kenyerek, pékáruk;puffasztott búzaszelet;13,9;2,6;64,8;340
Gabonafélék, kenyerek, pékáruk;rizs;8,0;0,3;77,5;352
Gabonafélék, kenyerek, pékáruk;rozsliszt;10,0;1,1;73,6;346
Gabonafélék, kenyerek, pékáruk;rozspehely;8,8;1,7;60,7;295
Gabonafélék, kenyerek, pékáruk;zabkorpa;15,3;5,5;57,0;340
Gabonafélék, kenyerek, pékáruk;zabpehely;14,4;6,8;64,3;378
Gabonafélék, kenyerek, pékáruk;zsemlemorzsa;10,2;0,9;73,3;344
Gabonafélék, kenyerek, pékáruk;zsírtalan szójaliszt;47,0;2,0;31,0;332
Gabonafélék, kenyerek, pékáruk;burgonyás kenyér;10,8;1,7;49,7;259
Gabonafélék, kenyerek, pékáruk;félbarna kenyér;9,8;1,0;52,3;259
Gabonafélék, kenyerek, pékáruk;kenyér;10,0;0,8;53,5;251
Gabonafélék, kenyerek, pékáruk;bakonyi barna kenyér;8,5;0,8;50,6;245
Gabonafélék, kenyerek, pékáruk;dabasi rozsos kenyér;10,1;1,8;49,9;257
Gabonafélék, kenyerek, pékáruk;graham kenyér;10,1;1,0;54,0;267
Gabonafélék, kenyerek, pékáruk;lenmagos barnakenyér;14,4;5,7;54,8;330
Gabonafélék, kenyerek, pékáruk;magvas barnakenyér;10,9;8,5;44,6;300
Gabonafélék, kenyerek, pékáruk;rozskenyér;8,1;0,9;53,6;256
Gabonafélék, kenyerek, pékáruk;korpás zsemle, kifli;10,5;1,5;48,9;252
Gabonafélék, kenyerek, pékáruk;zsemle, kifli;9,4;0,7;57,0;273
Gabonafélék, kenyerek, pékáruk;kuglóf;10,0;8,7;58,0;352
Gabonafélék, kenyerek, pékáruk;abonett;14,7;1,5;81,7;401
Gabonafélék, kenyerek, pékáruk;kalács;11,8;10,5;64,9;403
Gabonafélék, kenyerek, pékáruk;kétszersült;11,3;4,1;80,4;406
Gabonafélék, kenyerek, pékáruk;pászka;12,3;1,3;76,3;368
Gabonafélék, kenyerek, pékáruk;2 tojásos száraztészta;12,4;2,2;70,2;352
Gabonafélék, kenyerek, pékáruk;4 tojásos száraztészta;15,0;3,4;72,9;384
Gabonafélék, kenyerek, pékáruk;8 tojásos száraztészta;17,0;5,0;69,3;392
Gabonafélék, kenyerek, pékáruk;durum tészta;12,5;1,5;73,0;357
Zöldség-, főzelékfélék és készítményeik;céklakonzerv;1,3;0,1;13,9;63
Zöldség-, főzelékfélék és készítményeik;csalamádékonzerv;1,3;0,2;9,4;45
Zöldség-, főzelékfélék és készítményeik;csemege pirosarany;9,0;0,1;0;37
Zöldség-, főzelékfélék és készítményeik;ecetes paprika;1,1;0,3;3,8;22
Zöldség-, főzelékfélék és készítményeik;ketchup;2,1;0,4;24,0;109
Zöldség-, főzelékfélék és készítményeik;konzerv kukorica;4,6;1,6;23,1;126
Zöldség-, főzelékfélék és készítményeik;lecsókonzerv;1,3;0,3;4,2;25
Zöldség-, főzelékfélék és készítményeik;olivabogyó;1,4;13,9;1,8;138
Zöldség-, főzelékfélék és készítményeik;paradicsom püre;5,0;1,0;20,0;110
Zöldség-, főzelékfélék és készítményeik;reszelt ecetestorma;1,9;0,3;31,2;136
Zöldség-, főzelékfélék és készítményeik;savanyú uborka;0,6;0,1;2,6;14
Zöldség-, főzelékfélék és készítményeik;savanyúkáposzta;1,1;0,2;3,4;20
Zöldség-, főzelékfélék és készítményeik;zöldbab konzerv;1,6;0,2;4,3;26
Zöldség-, főzelékfélék és készítményeik;zöldborsó konzerv;4,2;0,2;10,1;59
Zöldség-, főzelékfélék és készítményeik;articsóka;2,4;0,1;9,5;50
Zöldség-, főzelékfélék és készítményeik;brokkoli;3,3;0,2;2,1;24
Zöldség-, főzelékfélék és készítményeik;cékla;1,3;0,1;5,9;31
Zöldség-, főzelékfélék és készítményeik;cikória;1,3;0,2;2,3;16
Zöldség-, főzelékfélék és készítményeik;csemegekukorica;4,7;1,6;23,6;128
Zöldség-, főzelékfélék és készítményeik;csicsóka;2,4;0,4;4,0;31
Zöldség-, főzelékfélék és készítményeik;cukkini;1,5;0,4;5,3;31
Zöldség-, főzelékfélék és készítményeik;endivia saláta;1,8;0,2;0,9;13
Zöldség-, főzelékfélék és készítményeik;fejes saláta;1,4;0,3;2,0;17
Zöldség-, főzelékfélék és készítményeik;fekete retek;1,1;0,2;1,0;10
Zöldség-, főzelékfélék és készítményeik;fokhagyma;6,8;0,1;26,3;134
Zöldség-, főzelékfélék és készítményeik;főzőtök;1,1;0,1;6,1;30
Zöldség-, főzelékfélék és készítményeik;kapor;3,7;0,8;10,2;63
Zöldség-, főzelékfélék és készítményeik;karalábé;2,1;0,2;6,9;38
Zöldség-, főzelékfélék és készítményeik;karfiol;2,4;0,4;3,9;29
Zöldség-, főzelékfélék és készítményeik;kelbimbó;4,9;0,6;6,1;50
Zöldség-, főzelékfélék és készítményeik;kelkáposzta;3,6;0,3;4,3;34
Zöldség-, főzelékfélék és készítményeik;kígyóuborka;1,0;0,1;1,7;12
Zöldség-, főzelékfélék és készítményeik;kínaikel;1,2;0,3;2,0;16
Zöldség-, főzelékfélék és készítményeik;lilakáposzta;1,7;0,2;5,7;32
Zöldség-, főzelékfélék és készítményeik;mirelit brokkoli;3,3;0,2;2,1;24
Zöldség-, főzelékfélék és készítményeik;mirelit karfiol;2,4;0,4;3,9;29
Zöldség-, főzelékfélék és készítményeik;mirelit kelbimbó;4,9;0,6;6,1;50
Zöldség-, főzelékfélék és készítményeik;mirelit kukorica;4,7;1,6;23,6;128
Zöldség-, főzelékfélék és készítményeik;mirelit lecsó;1,1;0,3;3,3;20
Zöldség-, főzelékfélék és készítményeik;mirelit mexikói vegyesfőzelék;4,2;0,6;13,3;76
Zöldség-, főzelékfélék és készítményeik;mirelit sárgarépa;1,2;0,2;8,1;40
Zöldség-, főzelékfélék és készítményeik;mirelit sóska;2,4;0,5;2,3;27
Zöldség-, főzelékfélék és készítményeik;mirelit spenót;2,3;0,3;1,8;19
Zöldség-, főzelékfélék és készítményeik;mirelit tök;1,1;0,1;6,1;30
Zöldség-, főzelékfélék és készítményeik;mirelit vegyesfőzelék (finom);3,8;0,3;10,0;59
Zöldség-, főzelékfélék és készítményeik;mirelit zöldbab;2,6;0,3;6,8;41
Zöldség-, főzelékfélék és készítményeik;mirelit zöldborsó;7,0;0,4;14,0;89
Zöldség-, főzelékfélék és készítményeik;padlizsán;1,3;0,2;4,8;26
Zöldség-, főzelékfélék és készítményeik;paradicsom;1,0;0,2;4,0;22
Zöldség-, főzelékfélék és készítményeik;paradicsompaprika;0,9;0,2;6,4;31
Zöldség-, főzelékfélék és készítményeik;patisszon;1,2;0,1;6,2;31
Zöldség-, főzelékfélék és készítményeik;petrezselyemgyökér;1,2;0,1;5,9;29
Zöldség-, főzelékfélék és készítményeik;petrezselyemzöld;4,4;0,4;9,8;61
Zöldség-, főzelékfélék és készítményeik;póréhagyma;2,2;0,3;6,3;37
Zöldség-, főzelékfélék és készítményeik;retek;1,2;0,1;2,2;15
